Id,QuestionsId,PosX,PosY,ScreenWidth,ScreenHeight,RelativeX,RelativeY,RelativeTime
137,149,450,745,574,278,1,3,00:00:28
138,150,150,2238,574,278,0,8,00:00:06
139,151,1093,3740,574,278,2,13,00:00:13
140,152,504,4616,574,278,1,17,00:00:09
141,153,801,1510,574,278,1,5,00:00:40
142,154,789,495,574,278,1,2,00:00:12
143,155,522,4348,574,278,1,16,00:00:10
144,156,232,4884,574,278,0,18,00:00:04
145,157,886,184,1440,839,1,0,00:00:04
146,158,546,468,1440,839,0,1,00:01:15
147,159,260,420,1440,839,0,1,00:00:16
148,160,625,186,1440,839,0,0,00:00:02
149,161,402,215,1440,839,0,0,00:00:03
150,162,313,218,1440,839,0,0,00:00:03
151,163,560,557,1440,839,0,1,00:00:20
152,164,1092,674,1440,839,1,1,00:00:15
153,165,566,543,1440,839,0,1,00:00:07
154,166,508,675,1440,839,0,1,00:00:21
155,167,826,618,1440,839,1,1,00:00:24
156,168,803,293,1440,839,1,0,00:00:26
157,169,324,583,1440,839,0,1,00:00:02
158,170,366,161,1207,635,0,0,00:00:05
159,171,860,185,1207,635,1,0,00:00:05
160,172,680,165,1207,635,1,0,00:00:03
161,173,1177,184,1207,635,1,0,00:00:06
162,175,540,192,1207,635,0,0,00:00:00
163,170,361,160,1207,635,0,0,00:00:09
164,175,732,297,1207,635,1,0,00:01:47
165,170,369,172,1207,635,0,0,00:00:11
166,176,564,430,1207,635,0,1,00:00:11
167,177,1201,417,1207,635,1,1,00:00:08
168,178,104,348,1207,635,0,1,00:00:08
169,179,610,370,1207,635,1,1,00:00:11
170,170,369,172,1207,635,0,0,00:00:12
171,180,970,331,1207,635,1,1,00:00:18
172,170,369,172,1207,635,0,0,00:00:13
173,181,562,398,1207,635,0,1,00:00:45
174,170,369,172,1207,635,0,0,00:00:14
175,170,369,172,1207,635,0,0,00:00:14
176,170,369,172,1207,635,0,0,00:00:14
177,170,369,172,1207,635,0,0,00:00:14
178,170,369,172,1207,635,0,0,00:00:15
179,170,369,172,1207,635,0,0,00:00:15
180,170,369,172,1207,635,0,0,00:00:15
181,170,369,172,1207,635,0,0,00:00:16
182,170,369,172,1207,635,0,0,00:00:17
183,170,369,172,1207,635,0,0,00:00:18
184,170,369,172,1207,635,0,0,00:00:18
185,170,369,172,1207,635,0,0,00:00:19
186,182,275,427,1207,635,0,1,00:00:30
187,183,1061,433,1722,1004,1,0,00:00:48
188,184,909,626,1722,1004,1,1,00:00:19
189,185,1315,435,1722,1004,1,0,00:00:12
190,186,999,759,1722,1004,1,1,00:00:10
191,187,827,456,1722,1004,0,0,00:00:08
192,188,1587,660,1722,1004,1,1,00:00:12
193,189,702,784,1722,1004,0,1,00:00:00
194,190,732,462,1722,1004,0,0,00:00:07
195,191,1431,671,1722,1004,1,1,00:00:00
196,192,1311,954,1722,1004,1,1,00:00:25
197,193,1312,567,1722,1004,1,1,00:00:13
198,194,1032,478,1722,1004,1,0,00:00:00
199,196,309,194,1440,705,0,0,00:00:04
200,197,622,187,1440,705,0,0,00:00:03
201,198,813,219,1440,705,1,0,00:00:11
202,199,1146,210,1440,705,1,0,00:00:08
203,200,755,620,1440,705,1,1,00:00:14
204,201,799,380,1440,705,1,1,00:00:10
205,202,369,488,1440,705,0,1,00:00:40
206,203,631,462,1440,705,0,1,00:00:13
207,204,1402,470,1440,705,1,1,00:00:05
208,205,644,600,1440,705,0,1,00:00:00
209,206,995,422,1440,705,1,1,00:00:23
210,207,235,287,1440,705,0,0,00:00:03
211,208,628,293,1440,705,0,0,00:00:42
212,209,2253,247,1920,1109,1,0,00:00:04
